web-scraper-order,web-scraper-start-url,link,link-href,brand,product_name,category,price,rating,number_of_reviews,number_of_recommendations,repurchase_yes,repurchase_no,repurchase_maybe,repurchase_yes_num,repurchase_no_num,rating_imputed_mean,rating_imputed_median,number_of_recommendations_imputed_mean,number_of_recommendations_imputed_median,repurchase_yes_num_imputed_mean,repurchase_yes_num_imputed_median,repurchase_no_num_imputed_mean,repurchase_no_num_imputed_median
1639359750-2073,https://www.sociolla.com/146-face?page=9,,https://www.sociolla.com/liquid-foundation/13920-pro-color-foundation-mixing-pigment,LA GIRL,Pro Color Foundation Mixing Pigment,Pro Color Foundation Mixing Pigment,Rp 280.000Rp 196.000,4.3,(2),1.0,Yes (0),No (1),Maybe (1),0.0,1.0,4.3,4.3,1.0,2.0,0.0,1.0,1.0,1.0
1639359653-2058,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/blush/16462-terracotta-blusher,NOTE COSMETICS,Terracotta Blusher,Terracotta Blusher,Rp 99.000Rp 64.350,4.7,(42),39.0,Yes (30),No (1),Maybe (11),30.0,1.0,4.7,4.6,39.0,39.0,30.0,30.0,1.0,1.0
1639359889-2092,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/concealer/60978-serum-color-corrector,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359528-2042,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/face-primer/25246-dura-wear-pore-refining-primer,Mineral Botanica,Dura Wear Pore Refining Primer,Dura Wear Pore Refining Primer,Rp 80.000Rp 56.000,4.6,(31),20.0,Yes (23),No (0),Maybe (8),23.0,0.0,4.6,4.6,20.0,20.0,23.0,23.0,0.0,0.0
1639358362-1858,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/loose-powder/25127-femme-banana-loose-powder,Madame Gie,Femme Banana Loose Powder,Femme Banana Loose Powder,Rp 62.700Rp 40.755,4.5,(41),37.0,Yes (18),No (3),Maybe (20),18.0,3.0,4.5,4.5,37.0,37.0,18.0,18.0,3.0,3.0
1639360345-2151,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/foundation/10065-bare-with-me-mineral-cushion,Emina,Bare With Me Mineral Cushion,Bare With Me Mineral Cushion,Rp 126.000,4.4,"(2,4k)",2251.0,"Yes (1,4k)",No (283),Maybe (730),1.0,283.0,4.4,4.4,2251.0,228.0,1.0,1.0,283.0,17.0
1639359262-2004,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/compact-powder/26392-biyas-illuminating-powder,Sada By Cathy Sharon,Biyas Illuminating Powder,Biyas Illuminating Powder,Rp 169.000,4.7,(8),6.0,Yes (5),No (1),Maybe (2),5.0,1.0,4.7,4.6,6.0,6.0,5.0,5.0,1.0,1.0
1639359448-2029,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/blush/58261-hydrastay-liquid-tint-blush,Make Over,Hydrastay Liquid Tint Blush,Hydrastay Liquid Tint Blush,Rp 131.000,4.7,(19),15.0,Yes (14),No (0),Maybe (5),14.0,0.0,4.7,4.6,15.0,15.0,14.0,14.0,0.0,0.0
1639358543-1886,https://www.sociolla.com/146-face?page=22,,https://www.sociolla.com/liquid-foundation/15445-photoready-candid-foundation,Revlon,Photoready Candid Foundation,Photoready Candid Foundation,Rp 145.000Rp 101.500,4.1,(15),11.0,Yes (7),No (2),Maybe (6),7.0,2.0,4.1,4.2,11.0,11.0,7.0,7.0,2.0,2.0
1639360524-2177,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/loose-powder/2609-silky-smooth-translucent-powder,Make Over,Silky Smooth Translucent Powder,Silky Smooth Translucent Powder,Rp 129.000Rp 90.300 - Rp 116.100,4.4,"(2,4k)",2275.0,"Yes (1,7k)",No (171),Maybe (544),1.0,171.0,4.4,4.4,2275.0,228.0,1.0,1.0,171.0,17.0
1639359852-2087,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/loose-powder/53956-crystal-loose-setting-powder,YOU Makeups,Crystal Loose Setting Powder,Crystal Loose Setting Powder,Rp 69.000Rp 58.650 - Rp 69.000,4.6,(20),19.0,Yes (16),No (1),Maybe (3),16.0,1.0,4.6,4.6,19.0,19.0,16.0,16.0,1.0,1.0
1639359227-1998,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/cake-foundation/17077-hard-cover-glow-cushion-ex,Holika Holika,Hard Cover Glow Cushion EX,Hard Cover Glow Cushion EX,Rp 458.000Rp 343.500,4.5,(6),4.0,Yes (5),No (1),Maybe (0),5.0,1.0,4.5,4.5,4.0,4.0,5.0,5.0,1.0,1.0
1639358724-1916,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/liquid-foundation/25792-radiant-lift-foundation,Max Factor,Radiant Lift Foundation,Radiant Lift Foundation,Rp 220.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358768-1924,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/face-primer/25795-miracle-prep-pore-minimising-and-mattifying-primer,Max Factor,Miracle Prep Pore Minimising And Mattifying Primer,Miracle Prep Pore Minimising And Mattifying Primer,Rp 215.000,3.4,(1),1.0,Yes (0),No (0),Maybe (1),0.0,0.0,3.4,4.2,1.0,2.0,0.0,1.0,0.0,0.0
1639360142-2122,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/face-primer/14021-sunny-snail-tone-up-cream,COSRX,Sunny Snail Tone Up Cream,Sunny Snail Tone Up Cream,Rp 269.000Rp 188.300,4.4,(463),402.0,Yes (253),No (63),Maybe (147),253.0,63.0,4.4,4.4,402.0,228.0,253.0,115.0,63.0,17.0
1639358489-1876,https://www.sociolla.com/146-face?page=22,,https://www.sociolla.com/contour/11533-highlight-and-contour,Mineral Botanica,Highlight And Contour,Highlight And Contour,Rp 89.900Rp 62.930,4.5,(190),175.0,Yes (99),No (18),Maybe (73),99.0,18.0,4.5,4.5,175.0,175.0,99.0,99.0,18.0,17.0
1639359881-2091,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/face-primer/16352-skin-perfecting-primer,NOTE COSMETICS,Skin Perfecting Primer,Skin Perfecting Primer,Rp 139.000Rp 90.350,4.5,(10),10.0,Yes (7),No (1),Maybe (2),7.0,1.0,4.5,4.5,10.0,10.0,7.0,7.0,1.0,1.0
1639358904-1948,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/compact-powder/55447-phan-phu-nen-i-m-meme-i-m-oil-cut-pact,IMMEME,Oil Cut Pact 001 Skin Mattifying,Oil Cut Pact 001 Skin Mattifying,Rp 220.000Rp 110.000,4.4,(1),0.0,Yes (0),No (0),Maybe (1),0.0,0.0,4.4,4.4,0.0,2.0,0.0,1.0,0.0,0.0
1639358468-1873,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/face-primer/59934-fit-me-matte-and-poreless-primer,Maybelline,Fit Me Matte and Poreless Primer,Fit Me Matte and Poreless Primer,Rp 110.000,5.0,(113),22.0,Yes (110),No (0),Maybe (3),110.0,0.0,5.0,4.6,22.0,22.0,110.0,110.0,0.0,0.0
1639358931-1952,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/blush/8587-dandelion-blush-powder,Benefit Cosmetics,Dandelion Blush Powder,Dandelion Blush Powder,Rp 530.000,4.4,(34),33.0,Yes (20),No (5),Maybe (9),20.0,5.0,4.4,4.4,33.0,33.0,20.0,20.0,5.0,5.0
1639359775-2077,https://www.sociolla.com/146-face?page=9,,https://www.sociolla.com/loose-powder/51346-translucent-setting-powder,Goban,Translucent Setting Powder,Translucent Setting Powder,Rp 119.000Rp 71.400,4.8,(23),19.0,Yes (17),No (1),Maybe (5),17.0,1.0,4.8,4.6,19.0,19.0,17.0,17.0,1.0,1.0
1639359840-2085,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/blush/16548-blush-cream-3-in-1,Everwhite,Blush Cream 3 in 1,Blush Cream 3 in 1,Rp 96.800Rp 64.856,4.3,(29),22.0,Yes (17),No (4),Maybe (8),17.0,4.0,4.3,4.3,22.0,22.0,17.0,17.0,4.0,4.0
1639360333-2149,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/blush/11329-blush,ESQA,Blush,Blush,Rp 135.000,4.6,"(1,4k)",1308.0,Yes (1k),No (51),Maybe (274),1.0,51.0,4.6,4.6,1308.0,228.0,1.0,1.0,51.0,17.0
1639360354-2152,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/loose-powder/10708-everyday-luminous-face-powder,Wardah,Everyday Luminous Face Powder,Everyday Luminous Face Powder,Rp 42.000,4.2,"(1,5k)",1331.0,Yes (798),No (226),Maybe (474),798.0,226.0,4.2,4.2,1331.0,228.0,798.0,115.0,226.0,17.0
1639359919-2095,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/blush/58457-cushion-blush,SYCA,Cushion Blush,Cushion Blush,Rp 159.000Rp 143.100,4.7,(4),3.0,Yes (2),No (0),Maybe (2),2.0,0.0,4.7,4.6,3.0,3.0,2.0,2.0,0.0,0.0
1639360516-2176,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/cake-foundation/14385-make-it-glow-dewy-cushion,Pixy,Make It Glow Dewy Cushion,Make It Glow Dewy Cushion,Rp 125.000,4.6,"(2,7k)",2592.0,Yes (2k),No (179),Maybe (526),2.0,179.0,4.6,4.6,2592.0,228.0,2.0,2.0,179.0,17.0
1639359757-2074,https://www.sociolla.com/146-face?page=9,,https://www.sociolla.com/concealer/58283-perfect-cover-longwear-liquid-concealer,Goban,Perfect Cover Longwear Liquid Concealer,Perfect Cover Longwear Liquid Concealer,Rp 120.000Rp 78.000,4.7,(180),155.0,Yes (140),No (1),Maybe (39),140.0,1.0,4.7,4.6,155.0,155.0,140.0,115.0,1.0,1.0
